Conversation_ID,Date,Time,Agent_name,Department,Answered (Y/N),Resolved,Respond_time,Avg_handeling_time,Satisfaction rating
ID1746,2016-01-31,14:05:00,Jim,Toaster,Y,Y,18.0,376,1.0
ID1747,2016-01-31,14:05:00,Becky,Toaster,Y,Y,95.0,147,4.0
ID1748,2016-01-31,14:05:00,Becky,Television,Y,Y,17.0,325,3.0
ID1749,2016-01-31,14:05:00,Jim,Air Conditioner,N,N,67.0,231,0.0
ID1750,2016-01-31,14:05:00,Stewart,Toaster,Y,Y,75.0,33,3.0
ID1743,2016-01-31,12:50:00,Stewart,Fridge,Y,Y,123.0,378,2.0
ID1744,2016-01-31,12:50:00,Martha,Washing Machine,N,N,71.0,226,0.0
ID1741,2016-01-31,12:43:00,Dan,Air Conditioner,Y,Y,28.0,371,4.0
ID1742,2016-01-31,12:43:00,Dan,Toaster,Y,Y,16.0,211,1.0
ID1739,2016-01-31,12:37:00,Stewart,Toaster,Y,N,17.0,229,5.0
ID1740,2016-01-31,12:37:00,Jim,Television,N,N,67.0,231,0.0
ID1737,2016-01-31,12:15:00,Diane,Toaster,Y,Y,37.0,417,4.0
ID1738,2016-01-31,12:15:00,Dan,Air Conditioner,Y,Y,29.0,389,5.0
ID1733,2016-01-31,12:00:00,Greg,Toaster,Y,Y,102.0,228,3.0
ID1734,2016-01-31,12:00:00,Dan,Air Conditioner,Y,Y,112.0,403,3.0
ID1735,2016-01-31,12:00:00,Jim,Air Conditioner,Y,Y,107.0,194,1.0
ID1736,2016-01-31,12:00:00,Stewart,Washing Machine,Y,Y,93.0,159,5.0
ID1731,2016-01-31,11:58:00,Dan,Washing Machine,N,N,67.0,237,0.0
ID1732,2016-01-31,11:58:00,Diane,Toaster,Y,Y,38.0,228,4.0
ID1729,2016-01-31,11:39:00,Dan,Toaster,Y,Y,79.0,81,5.0
ID1730,2016-01-31,11:39:00,Joe,Air Conditioner,Y,Y,42.0,100,5.0
ID1727,2016-01-31,11:35:00,Joe,Fridge,N,N,71.0,226,0.0
ID1728,2016-01-31,11:35:00,Joe,Washing Machine,Y,Y,88.0,71,1.0
ID1725,2016-01-31,11:32:00,Jim,Toaster,N,N,67.0,231,0.0
ID1726,2016-01-31,11:32:00,Greg,Washing Machine,N,N,67.0,228,0.0
ID1723,2016-01-31,09:30:00,Stewart,Washing Machine,Y,Y,120.0,190,1.0
ID1724,2016-01-31,09:30:00,Joe,Toaster,Y,Y,73.0,343,2.0
ID1721,2016-01-31,09:27:00,Diane,Toaster,Y,N,67.0,58,1.0
ID1722,2016-01-31,09:27:00,Becky,Television,Y,Y,16.0,336,5.0
ID1719,2016-01-31,09:24:00,Diane,Washing Machine,Y,Y,32.0,360,1.0
ID1720,2016-01-31,09:24:00,Greg,Television,N,N,67.0,228,0.0
ID1717,2016-01-31,09:14:00,Becky,Air Conditioner,Y,Y,30.0,59,5.0
ID1718,2016-01-31,09:14:00,Stewart,Washing Machine,Y,Y,23.0,400,3.0
ID1715,2016-01-31,09:08:00,Greg,Toaster,Y,Y,27.0,192,3.0
ID1716,2016-01-31,09:08:00,Joe,Washing Machine,Y,Y,119.0,162,4.0
ID1713,2016-01-31,09:00:00,Dan,Toaster,Y,N,100.0,382,5.0
ID1714,2016-01-31,09:00:00,Becky,Toaster,Y,Y,114.0,342,4.0
ID1711,2016-01-30,17:31:00,Stewart,Toaster,Y,Y,97.0,172,3.0
ID1712,2016-01-30,17:31:00,Jim,Television,Y,Y,20.0,307,5.0
ID1709,2016-01-30,17:29:00,Stewart,Washing Machine,Y,N,50.0,79,2.0
ID1710,2016-01-30,17:29:00,Becky,Washing Machine,Y,N,33.0,236,4.0
ID1707,2016-01-30,17:25:00,Martha,Toaster,N,N,71.0,226,0.0
ID1708,2016-01-30,17:25:00,Dan,Television,Y,Y,38.0,411,2.0
ID1705,2016-01-30,17:18:00,Stewart,Washing Machine,N,N,66.0,219,0.0
ID1706,2016-01-30,17:18:00,Jim,Fridge,N,N,67.0,231,0.0
ID1703,2016-01-30,17:12:00,Diane,Television,Y,Y,103.0,219,2.0
ID1704,2016-01-30,17:12:00,Greg,Toaster,Y,Y,114.0,202,3.0
ID1701,2016-01-30,17:09:00,Diane,Air Conditioner,Y,Y,49.0,393,5.0
ID1702,2016-01-30,17:09:00,Greg,Television,Y,Y,33.0,65,5.0
ID1699,2016-01-30,16:52:00,Dan,Television,Y,Y,17.0,192,3.0
ID1700,2016-01-30,16:52:00,Becky,Washing Machine,Y,Y,53.0,220,1.0
ID1697,2016-01-30,16:49:00,Dan,Air Conditioner,N,N,67.0,237,0.0
ID1698,2016-01-30,16:49:00,Jim,Fridge,Y,Y,107.0,197,3.0
ID1695,2016-01-30,16:32:00,Jim,Air Conditioner,N,N,67.0,231,0.0
ID1696,2016-01-30,16:32:00,Jim,Washing Machine,N,N,67.0,231,0.0
ID1691,2016-01-30,16:19:00,Becky,Air Conditioner,Y,Y,91.0,50,3.0
ID1692,2016-01-30,16:19:00,Stewart,Air Conditioner,Y,Y,71.0,87,2.0
ID1693,2016-01-30,16:19:00,Greg,Washing Machine,N,N,67.0,228,0.0
ID1694,2016-01-30,16:19:00,Stewart,Washing Machine,Y,Y,78.0,266,3.0
ID1689,2016-01-30,16:13:00,Stewart,Fridge,Y,N,65.0,221,4.0
ID1690,2016-01-30,16:13:00,Becky,Fridge,N,N,64.0,220,0.0
ID1687,2016-01-30,15:59:00,Dan,Air Conditioner,Y,Y,18.0,281,3.0
ID1688,2016-01-30,15:59:00,Greg,Television,Y,Y,31.0,258,4.0
ID1685,2016-01-30,15:51:00,Dan,Air Conditioner,Y,Y,111.0,155,5.0
ID1686,2016-01-30,15:51:00,Diane,Washing Machine,Y,Y,27.0,217,5.0
ID1683,2016-01-30,15:44:00,Stewart,Fridge,Y,Y,78.0,309,1.0
ID1684,2016-01-30,15:44:00,Diane,Toaster,N,N,64.0,221,0.0
ID1681,2016-01-30,15:38:00,Joe,Toaster,Y,Y,33.0,79,2.0
ID1682,2016-01-30,15:38:00,Martha,Fridge,Y,Y,124.0,288,5.0
ID1679,2016-01-30,15:00:00,Becky,Toaster,Y,Y,19.0,357,1.0
ID1680,2016-01-30,15:00:00,Martha,Washing Machine,Y,Y,97.0,413,5.0
ID1677,2016-01-30,14:36:00,Joe,Toaster,Y,N,68.0,65,2.0
ID1678,2016-01-30,14:36:00,Greg,Television,Y,Y,33.0,275,3.0
ID1675,2016-01-30,14:11:00,Stewart,Toaster,Y,N,122.0,216,3.0
ID1676,2016-01-30,14:11:00,Becky,Air Conditioner,Y,Y,78.0,341,2.0
ID1673,2016-01-30,14:09:00,Stewart,Washing Machine,Y,Y,85.0,184,4.0
ID1674,2016-01-30,14:09:00,Stewart,Toaster,N,N,66.0,219,0.0
ID1671,2016-01-30,14:00:00,Joe,Air Conditioner,Y,N,19.0,136,4.0
ID1672,2016-01-30,14:00:00,Joe,Toaster,N,N,71.0,226,0.0
ID1669,2016-01-30,13:39:00,Becky,Fridge,Y,Y,88.0,372,5.0
ID1670,2016-01-30,13:39:00,Dan,Air Conditioner,Y,N,45.0,410,4.0
ID1667,2016-01-30,13:03:00,Dan,Television,Y,Y,17.0,220,5.0
ID1668,2016-01-30,13:03:00,Becky,Air Conditioner,Y,Y,27.0,167,5.0
ID1665,2016-01-30,12:51:00,Dan,Toaster,Y,Y,16.0,248,1.0
ID1666,2016-01-30,12:51:00,Martha,Air Conditioner,Y,Y,43.0,114,1.0
ID1663,2016-01-30,12:48:00,Stewart,Toaster,Y,Y,116.0,373,4.0
ID1664,2016-01-30,12:48:00,Becky,Toaster,Y,N,98.0,371,5.0
ID1661,2016-01-30,12:44:00,Jim,Fridge,Y,Y,41.0,88,3.0
ID1662,2016-01-30,12:44:00,Becky,Television,Y,Y,69.0,418,2.0
ID1659,2016-01-30,12:40:00,Martha,Fridge,Y,Y,13.0,123,4.0
ID1660,2016-01-30,12:40:00,Greg,Television,Y,N,91.0,241,3.0
ID1657,2016-01-30,12:37:00,Dan,Washing Machine,Y,Y,32.0,125,4.0
ID1658,2016-01-30,12:37:00,Martha,Washing Machine,N,N,71.0,226,0.0
ID1655,2016-01-30,12:23:00,Dan,Toaster,Y,Y,13.0,351,3.0
ID1656,2016-01-30,12:23:00,Diane,Washing Machine,Y,Y,78.0,274,5.0
ID1653,2016-01-30,12:17:00,Diane,Television,Y,Y,53.0,84,3.0
ID1654,2016-01-30,12:17:00,Stewart,Fridge,Y,Y,52.0,370,3.0
ID1651,2016-01-30,11:52:00,Jim,Air Conditioner,Y,Y,118.0,133,4.0
ID1652,2016-01-30,11:52:00,Martha,Fridge,Y,N,68.0,158,2.0
ID1649,2016-01-30,11:26:00,Jim,Washing Machine,Y,Y,79.0,274,4.0
ID1650,2016-01-30,11:26:00,Stewart,Washing Machine,Y,N,94.0,416,5.0
ID1647,2016-01-30,11:12:00,Dan,Television,N,N,67.0,237,0.0
ID1648,2016-01-30,11:12:00,Jim,Air Conditioner,Y,Y,23.0,359,5.0
ID1645,2016-01-30,10:40:00,Becky,Toaster,Y,Y,22.0,43,3.0
ID1646,2016-01-30,10:40:00,Diane,Toaster,Y,Y,20.0,298,4.0
ID1643,2016-01-30,10:27:00,Jim,Air Conditioner,Y,Y,57.0,266,5.0
ID1644,2016-01-30,10:27:00,Martha,Television,Y,Y,113.0,154,3.0
ID1641,2016-01-30,10:09:00,Greg,Air Conditioner,Y,Y,99.0,152,2.0
ID1642,2016-01-30,10:09:00,Joe,Toaster,Y,Y,77.0,264,4.0
ID1639,2016-01-30,10:07:00,Stewart,Air Conditioner,Y,Y,116.0,210,1.0
ID1640,2016-01-30,10:07:00,Joe,Television,Y,Y,118.0,166,2.0
ID1637,2016-01-30,09:53:00,Diane,Television,Y,Y,124.0,61,4.0
ID1638,2016-01-30,09:53:00,Becky,Toaster,Y,N,92.0,121,5.0
ID1635,2016-01-30,09:47:00,Dan,Fridge,Y,Y,12.0,356,5.0
ID1636,2016-01-30,09:47:00,Jim,Washing Machine,Y,Y,85.0,222,3.0
ID1633,2016-01-30,09:05:00,Diane,Washing Machine,Y,Y,84.0,102,4.0
ID1634,2016-01-30,09:05:00,Becky,Toaster,Y,Y,84.0,298,5.0
ID1631,2016-01-29,17:52:00,Stewart,Air Conditioner,N,N,66.0,219,0.0
ID1632,2016-01-29,17:52:00,Stewart,Fridge,Y,Y,53.0,104,4.0
ID1629,2016-01-29,17:41:00,Greg,Fridge,Y,Y,28.0,39,4.0
ID1630,2016-01-29,17:41:00,Diane,Television,Y,N,43.0,128,4.0
ID1627,2016-01-29,17:12:00,Greg,Toaster,Y,N,124.0,258,5.0
ID1628,2016-01-29,17:12:00,Martha,Washing Machine,Y,Y,44.0,157,4.0
ID1625,2016-01-29,16:10:00,Joe,Television,N,N,71.0,226,0.0
ID1626,2016-01-29,16:10:00,Joe,Air Conditioner,N,N,71.0,226,0.0
ID1623,2016-01-29,15:51:00,Dan,Air Conditioner,Y,Y,65.0,108,3.0
ID1624,2016-01-29,15:51:00,Becky,Toaster,N,N,64.0,220,0.0
ID1621,2016-01-29,15:46:00,Greg,Fridge,Y,Y,88.0,350,5.0
ID1622,2016-01-29,15:46:00,Stewart,Air Conditioner,Y,Y,93.0,189,5.0
ID1619,2016-01-29,15:44:00,Diane,Toaster,Y,Y,75.0,258,2.0
ID1620,2016-01-29,15:44:00,Jim,Washing Machine,Y,Y,20.0,413,3.0
ID1617,2016-01-29,15:21:00,Stewart,Washing Machine,Y,Y,84.0,403,3.0
ID1618,2016-01-29,15:21:00,Joe,Toaster,Y,N,105.0,143,3.0
ID1615,2016-01-29,15:08:00,Diane,Air Conditioner,Y,Y,45.0,351,3.0
ID1616,2016-01-29,15:08:00,Diane,Air Conditioner,Y,Y,29.0,288,3.0
ID1613,2016-01-29,14:49:00,Becky,Washing Machine,Y,Y,23.0,45,4.0
ID1614,2016-01-29,14:49:00,Jim,Television,Y,Y,34.0,234,3.0
ID1611,2016-01-29,14:32:00,Stewart,Washing Machine,N,N,66.0,219,0.0
ID1612,2016-01-29,14:32:00,Dan,Fridge,Y,Y,65.0,313,5.0
ID1609,2016-01-29,14:11:00,Diane,Television,Y,N,83.0,34,4.0
ID1610,2016-01-29,14:11:00,Stewart,Air Conditioner,N,N,66.0,219,0.0
ID1607,2016-01-29,13:37:00,Becky,Washing Machine,Y,Y,14.0,130,4.0
ID1608,2016-01-29,13:37:00,Dan,Toaster,Y,Y,77.0,156,3.0
ID1605,2016-01-29,13:12:00,Greg,Washing Machine,Y,Y,102.0,285,3.0
ID1606,2016-01-29,13:12:00,Dan,Fridge,Y,N,75.0,330,3.0
ID1603,2016-01-29,13:04:00,Diane,Fridge,Y,Y,23.0,80,4.0
ID1604,2016-01-29,13:04:00,Diane,Fridge,Y,Y,39.0,69,1.0
ID1601,2016-01-29,13:00:00,Martha,Washing Machine,Y,Y,68.0,45,4.0
ID1602,2016-01-29,13:00:00,Jim,Washing Machine,Y,Y,17.0,347,3.0
ID1597,2016-01-29,12:51:00,Diane,Air Conditioner,Y,Y,112.0,269,3.0
ID1598,2016-01-29,12:51:00,Martha,Toaster,Y,Y,98.0,189,4.0
ID1599,2016-01-29,12:51:00,Stewart,Toaster,Y,Y,105.0,193,2.0
ID1600,2016-01-29,12:51:00,Diane,Air Conditioner,Y,Y,78.0,183,5.0
ID1595,2016-01-29,12:46:00,Dan,Television,Y,Y,37.0,323,3.0
ID1596,2016-01-29,12:46:00,Stewart,Toaster,Y,N,42.0,217,4.0
ID1593,2016-01-29,12:44:00,Joe,Toaster,Y,Y,62.0,141,1.0
ID1594,2016-01-29,12:44:00,Joe,Air Conditioner,Y,Y,122.0,298,3.0
ID1591,2016-01-29,11:57:00,Diane,Toaster,N,N,64.0,221,0.0
ID1592,2016-01-29,11:57:00,Greg,Air Conditioner,Y,Y,11.0,263,5.0
ID1589,2016-01-29,10:52:00,Stewart,Fridge,Y,Y,92.0,193,5.0
ID1590,2016-01-29,10:52:00,Jim,Air Conditioner,Y,Y,51.0,160,2.0
ID1587,2016-01-29,10:50:00,Diane,Air Conditioner,Y,Y,59.0,295,4.0
ID1588,2016-01-29,10:50:00,Jim,Air Conditioner,N,N,67.0,231,0.0
ID1585,2016-01-29,10:29:00,Joe,Washing Machine,Y,Y,118.0,243,3.0
ID1586,2016-01-29,10:29:00,Jim,Toaster,Y,Y,94.0,72,3.0
ID1583,2016-01-29,10:20:00,Greg,Fridge,Y,Y,43.0,125,4.0
ID1584,2016-01-29,10:20:00,Becky,Toaster,N,N,64.0,220,0.0
ID1581,2016-01-29,09:57:00,Dan,Television,Y,Y,95.0,106,5.0
ID1582,2016-01-29,09:57:00,Dan,Air Conditioner,Y,Y,23.0,375,4.0
ID1579,2016-01-29,09:20:00,Greg,Fridge,Y,Y,22.0,297,3.0
ID1580,2016-01-29,09:20:00,Stewart,Toaster,N,N,66.0,219,0.0
ID1577,2016-01-29,09:08:00,Dan,Toaster,Y,Y,87.0,69,5.0
ID1578,2016-01-29,09:08:00,Greg,Toaster,N,N,67.0,228,0.0
ID1575,2016-01-29,09:02:00,Greg,Fridge,Y,Y,55.0,188,4.0
ID1576,2016-01-29,09:02:00,Jim,Fridge,N,N,67.0,231,0.0
ID1573,2016-01-28,18:00:00,Diane,Toaster,Y,Y,54.0,371,2.0
ID1574,2016-01-28,18:00:00,Stewart,Television,Y,Y,82.0,346,5.0
ID1571,2016-01-28,17:52:00,Diane,Toaster,Y,Y,61.0,43,1.0
ID1572,2016-01-28,17:52:00,Martha,Fridge,N,N,71.0,226,0.0
ID1569,2016-01-28,17:16:00,Martha,Air Conditioner,Y,Y,84.0,257,4.0
ID1570,2016-01-28,17:16:00,Greg,Washing Machine,Y,Y,121.0,117,4.0
ID1567,2016-01-28,17:03:00,Dan,Toaster,Y,Y,27.0,196,4.0
ID1568,2016-01-28,17:03:00,Dan,Television,Y,Y,41.0,197,4.0
ID1565,2016-01-28,16:40:00,Dan,Washing Machine,Y,Y,94.0,103,4.0
ID1566,2016-01-28,16:40:00,Joe,Television,Y,N,80.0,300,4.0
ID1563,2016-01-28,16:19:00,Greg,Washing Machine,Y,Y,29.0,275,3.0
ID1564,2016-01-28,16:19:00,Greg,Fridge,Y,Y,67.0,402,2.0
ID1561,2016-01-28,16:13:00,Diane,Television,N,N,64.0,221,0.0
ID1562,2016-01-28,16:13:00,Jim,Television,Y,Y,66.0,156,3.0
ID1559,2016-01-28,15:53:00,Greg,Air Conditioner,Y,Y,93.0,391,3.0
ID1560,2016-01-28,15:53:00,Joe,Toaster,Y,Y,61.0,121,1.0
ID1557,2016-01-28,14:57:00,Diane,Television,Y,Y,45.0,232,4.0
ID1558,2016-01-28,14:57:00,Becky,Air Conditioner,N,N,64.0,220,0.0
ID1555,2016-01-28,14:32:00,Dan,Fridge,Y,Y,25.0,135,2.0
ID1556,2016-01-28,14:32:00,Jim,Fridge,Y,Y,46.0,177,4.0
ID1553,2016-01-28,14:19:00,Dan,Television,Y,Y,23.0,196,3.0
ID1554,2016-01-28,14:19:00,Joe,Washing Machine,Y,N,86.0,231,3.0
ID1551,2016-01-28,14:18:00,Joe,Toaster,Y,Y,70.0,353,1.0
ID1552,2016-01-28,14:18:00,Martha,Television,Y,Y,101.0,352,5.0
ID1549,2016-01-28,13:19:00,Diane,Television,Y,Y,45.0,206,1.0
ID1550,2016-01-28,13:19:00,Stewart,Air Conditioner,Y,Y,24.0,136,4.0
ID1547,2016-01-28,13:17:00,Joe,Fridge,Y,Y,44.0,129,5.0
ID1548,2016-01-28,13:17:00,Stewart,Television,Y,Y,10.0,111,3.0
ID1545,2016-01-28,13:00:00,Jim,Washing Machine,N,N,67.0,231,0.0
ID1546,2016-01-28,13:00:00,Dan,Television,Y,Y,101.0,322,4.0
ID1543,2016-01-28,12:46:00,Martha,Washing Machine,Y,Y,111.0,235,5.0
ID1544,2016-01-28,12:46:00,Becky,Television,Y,Y,123.0,41,4.0
ID1541,2016-01-28,11:55:00,Dan,Washing Machine,Y,Y,28.0,325,3.0
ID1542,2016-01-28,11:55:00,Becky,Washing Machine,Y,Y,90.0,229,3.0
ID1539,2016-01-28,11:54:00,Diane,Air Conditioner,Y,Y,101.0,285,4.0
ID1540,2016-01-28,11:54:00,Becky,Fridge,Y,Y,124.0,98,4.0
ID1537,2016-01-28,11:29:00,Becky,Fridge,Y,Y,22.0,302,3.0
ID1538,2016-01-28,11:29:00,Joe,Television,Y,N,96.0,234,1.0
ID1535,2016-01-28,11:21:00,Becky,Toaster,Y,Y,66.0,344,4.0
ID1536,2016-01-28,11:21:00,Becky,Fridge,Y,Y,65.0,111,5.0
ID1533,2016-01-28,11:06:00,Stewart,Television,Y,Y,41.0,188,4.0
ID1534,2016-01-28,11:06:00,Greg,Air Conditioner,Y,Y,26.0,107,5.0
ID1531,2016-01-28,10:52:00,Martha,Washing Machine,Y,Y,90.0,285,3.0
ID1532,2016-01-28,10:52:00,Dan,Toaster,Y,Y,104.0,371,5.0
ID1529,2016-01-28,10:40:00,Diane,Washing Machine,Y,Y,48.0,91,3.0
ID1530,2016-01-28,10:40:00,Diane,Television,Y,N,58.0,155,1.0
ID1527,2016-01-28,10:04:00,Greg,Air Conditioner,Y,N,120.0,87,4.0
ID1528,2016-01-28,10:04:00,Dan,Toaster,Y,Y,123.0,117,4.0
ID1525,2016-01-28,09:46:00,Stewart,Air Conditioner,Y,Y,87.0,94,4.0
ID1526,2016-01-28,09:46:00,Stewart,Air Conditioner,Y,Y,26.0,115,2.0
ID1523,2016-01-28,09:12:00,Martha,Toaster,Y,Y,38.0,384,4.0
ID1524,2016-01-28,09:12:00,Martha,Toaster,Y,Y,39.0,336,3.0
ID1521,2016-01-28,09:11:00,Greg,Fridge,Y,Y,58.0,297,3.0
ID1522,2016-01-28,09:11:00,Martha,Toaster,Y,Y,61.0,316,3.0
ID1519,2016-01-28,09:04:00,Jim,Television,Y,Y,46.0,267,5.0
ID1520,2016-01-28,09:04:00,Joe,Television,Y,Y,14.0,341,3.0
ID1517,2016-01-27,17:42:00,Jim,Washing Machine,Y,Y,93.0,56,4.0
ID1518,2016-01-27,17:42:00,Martha,Air Conditioner,N,N,71.0,226,0.0
ID1515,2016-01-27,17:18:00,Jim,Television,Y,Y,28.0,184,5.0
ID1516,2016-01-27,17:18:00,Greg,Washing Machine,N,N,67.0,228,0.0
ID1513,2016-01-27,17:12:00,Jim,Television,Y,Y,107.0,187,4.0
ID1514,2016-01-27,17:12:00,Dan,Toaster,Y,Y,77.0,364,3.0
ID1511,2016-01-27,17:00:00,Becky,Toaster,Y,Y,31.0,267,1.0
ID1512,2016-01-27,17:00:00,Joe,Washing Machine,Y,Y,33.0,392,2.0
ID1509,2016-01-27,16:58:00,Martha,Washing Machine,Y,Y,100.0,163,4.0
ID1510,2016-01-27,16:58:00,Jim,Washing Machine,Y,Y,27.0,309,3.0
ID1507,2016-01-27,16:10:00,Jim,Fridge,Y,Y,77.0,195,5.0
ID1508,2016-01-27,16:10:00,Joe,Fridge,Y,Y,16.0,321,4.0
ID1505,2016-01-27,16:01:00,Dan,Toaster,Y,Y,99.0,262,3.0
ID1506,2016-01-27,16:01:00,Greg,Air Conditioner,N,N,67.0,228,0.0
ID1503,2016-01-27,16:00:00,Jim,Fridge,Y,Y,26.0,116,2.0
ID1504,2016-01-27,16:00:00,Martha,Fridge,Y,Y,96.0,389,4.0
ID1501,2016-01-27,15:40:00,Stewart,Television,Y,Y,112.0,163,4.0
ID1502,2016-01-27,15:40:00,Becky,Washing Machine,Y,N,10.0,222,4.0
ID1499,2016-01-27,15:23:00,Becky,Fridge,Y,Y,10.0,364,5.0
ID1500,2016-01-27,15:23:00,Diane,Television,N,N,64.0,221,0.0
ID1497,2016-01-27,15:21:00,Stewart,Toaster,Y,Y,10.0,85,5.0
ID1498,2016-01-27,15:21:00,Dan,Fridge,Y,Y,19.0,283,2.0
ID1495,2016-01-27,14:54:00,Dan,Air Conditioner,Y,Y,123.0,409,5.0
ID1496,2016-01-27,14:54:00,Becky,Toaster,Y,Y,32.0,282,3.0
ID1493,2016-01-27,14:45:00,Jim,Fridge,Y,Y,87.0,394,3.0
ID1494,2016-01-27,14:45:00,Jim,Toaster,Y,Y,15.0,358,3.0
ID1491,2016-01-27,13:52:00,Joe,Washing Machine,Y,Y,50.0,105,4.0
ID1492,2016-01-27,13:52:00,Greg,Television,Y,Y,87.0,301,2.0
ID1489,2016-01-27,13:27:00,Dan,Toaster,Y,Y,27.0,157,3.0
ID1490,2016-01-27,13:27:00,Martha,Fridge,Y,Y,49.0,84,4.0
ID1487,2016-01-27,13:22:00,Diane,Washing Machine,Y,Y,15.0,414,2.0
ID1488,2016-01-27,13:22:00,Stewart,Fridge,Y,Y,47.0,247,2.0
ID1485,2016-01-27,13:09:00,Dan,Television,Y,Y,45.0,233,5.0
ID1486,2016-01-27,13:09:00,Dan,Television,Y,Y,84.0,153,2.0
ID1483,2016-01-27,13:07:00,Dan,Television,Y,Y,58.0,121,4.0
ID1484,2016-01-27,13:07:00,Diane,Television,Y,Y,86.0,207,2.0
ID1481,2016-01-27,13:03:00,Jim,Fridge,Y,Y,114.0,261,3.0
ID1482,2016-01-27,13:03:00,Jim,Air Conditioner,N,N,67.0,231,0.0
ID1479,2016-01-27,13:00:00,Martha,Air Conditioner,N,N,71.0,226,0.0
ID1480,2016-01-27,13:00:00,Martha,Television,Y,Y,50.0,231,5.0
ID1477,2016-01-27,12:40:00,Jim,Washing Machine,N,N,67.0,231,0.0
ID1478,2016-01-27,12:40:00,Dan,Air Conditioner,Y,Y,33.0,352,5.0
ID1475,2016-01-27,11:09:00,Dan,Air Conditioner,Y,Y,61.0,159,3.0
ID1476,2016-01-27,11:09:00,Dan,Television,Y,Y,125.0,365,5.0
ID1473,2016-01-27,10:43:00,Jim,Washing Machine,Y,Y,97.0,397,4.0
ID1474,2016-01-27,10:43:00,Martha,Washing Machine,Y,Y,75.0,170,4.0
ID1471,2016-01-27,09:57:00,Martha,Television,Y,Y,118.0,207,4.0
ID1472,2016-01-27,09:57:00,Stewart,Washing Machine,Y,Y,40.0,246,4.0
ID1469,2016-01-27,09:54:00,Greg,Toaster,N,N,67.0,228,0.0
ID1470,2016-01-27,09:54:00,Martha,Washing Machine,Y,Y,36.0,261,4.0
ID1467,2016-01-27,09:41:00,Martha,Fridge,Y,Y,86.0,172,1.0
ID1468,2016-01-27,09:41:00,Joe,Washing Machine,Y,Y,20.0,263,4.0
ID1465,2016-01-27,09:38:00,Becky,Air Conditioner,Y,Y,22.0,252,3.0
ID1466,2016-01-27,09:38:00,Greg,Television,N,N,67.0,228,0.0
ID1463,2016-01-27,09:10:00,Diane,Television,Y,Y,95.0,175,3.0
ID1464,2016-01-27,09:10:00,Diane,Washing Machine,Y,Y,13.0,194,5.0
ID1461,2016-01-26,17:52:00,Dan,Television,Y,Y,82.0,397,1.0
ID1462,2016-01-26,17:52:00,Jim,Air Conditioner,Y,Y,34.0,258,2.0
ID1459,2016-01-26,17:18:00,Becky,Washing Machine,Y,Y,38.0,418,1.0
ID1460,2016-01-26,17:18:00,Becky,Washing Machine,Y,Y,115.0,375,3.0
ID1457,2016-01-26,16:06:00,Becky,Toaster,N,N,64.0,220,0.0
ID1458,2016-01-26,16:06:00,Greg,Washing Machine,Y,Y,60.0,134,3.0
ID1455,2016-01-26,16:00:00,Joe,Toaster,Y,Y,36.0,382,3.0
ID1456,2016-01-26,16:00:00,Martha,Toaster,Y,Y,50.0,66,4.0
ID1453,2016-01-26,15:37:00,Dan,Toaster,Y,Y,19.0,337,1.0
ID1454,2016-01-26,15:37:00,Dan,Washing Machine,Y,Y,68.0,164,3.0
